country,Label
United States,1
United States,1
United States,0
United States,0
United States,0
United States,0
United Kingdom,0
United Kingdom,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,1
United States,0
United States,0
United States,1
United Kingdom,0
United States,0
United States,0
United States,0
Australia,0
United States,0
United States,0
Lëtzebuerg,1
Deutschland,1
Jamaica,0
United States,0
United States,0
United Kingdom,1
United States,1
United States,0
United States,0
United States,0
Canada,0
United States,0
Deutschland,1
Sierra Leone,0
United States,0
United States,1
United States,0
United States,1
ประเทศไทย,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,1
United States,0
United States,0
United States,0
United Kingdom,0
Éire / Ireland,0
United States,0
United States,0
United States,0
United States,0
ایران,0
United States,0
United States,1
United States,0
Canada,0
United States,0
United States,0
España,0
United States,0
Nederland,0
United Kingdom,0
ایران,0
United States,0
Indonesia,0
New Zealand / Aotearoa,0
Australia,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,1
United States,0
United States,0
United States,0
United States,0
Australia,1
United States,0
México,0
United States,0
United States,0
Australia,0
ປະເທດລາວ,0
United States,0
United States,0
United States,0
United States,1
United States,0
United States,0
United Kingdom,0
United States,0
United States,0
United States,0
Deutschland,0
United States,0
United States,0
United States,1
United States,1
United Kingdom,0
United States,1
United States,0
United States,1
Australia,0
United States,0
Deutschland,0
United Kingdom,0
ایران,0
United States,0
United States,1
조선민주주의인민공화국,0
United States,0
United Kingdom,0
United States,1
United States,0
United States,0
New Zealand / Aotearoa,0
United States,0
United Kingdom,1
United States,0
United States,0
Australia,1
United States,0
México,0
México,0
Australia,1
New Zealand / Aotearoa,1
Canada,0
New Zealand / Aotearoa,0
United States,1
United States,0
United States,0
United Kingdom,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United Kingdom,0
United States,0
Nigeria,0
United States,0
United States,0
United States,0
United States,0
ประเทศไทย,0
Ayiti,0
Việt Nam,0
United States,0
Canada,0
United States,0
Canada,0
United States,1
United States,0
United States,0
Australia,0
Jamaica,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
México,0
United States,1
United States,0
United States,0
United States,0
United States,0
United States,0
臺灣,1
Zimbabwe,0
United States,0
United States,1
United States,0
United States,0
United States,0
Canada,0
Australia,0
United States,0
United States,1
Australia,0
Australia,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
United States,0
Canada,1
United States,0
United States,1
United States,0
United States,0
United States,0
United States,1
United States,0
