country,Lyme counts,Non-Lyme counts
United States,9827,8478
United Kingdom,55,509
Canada,43,367
Australia,14,125
Germany,11,77
Iran,3,42
Mexico,6,34
France,3,32
New Zealand,4,26
Philippines,4,21
South Korea,2,18
Belgium,3,17
Ireland,1,19
Poland,1,17
Spain,0,15
Argentina,4,11
Netherlands,0,15
Sweden,1,9
Panama,0,10
Thailand,2,8
Jamaica,1,9
Indonesia,1,9
Venezuela,2,8
Switzerland,2,8
North Korea,1,9
Denmark,2,8
Norway,1,9
Chile,0,5
Italy,0,5
Sudan,1,4
Laos,0,5
Vietnam,1,4
Luxembourg,1,4
Brazil,0,5
Malaysia,0,5
Montenegro,0,5
Haiti,1,4
Taiwan,1,4
India,0,5
Austria,0,5
Sierra Leone,0,5
Estonia,1,4
Finland,0,5
Zimbabwe,0,5
China,0,5
Nigeria,0,5
